Mali	Guinée C	2026-07-24	20:00	Haady Parc	A
Congo BR	Burkina Faso	2026-07-25	19:30	Haady Parc	A
Tchad	Niger	2026-07-25	21:30	Haady Parc	B
Comores	Gambie	2026-07-26	19:00	Haady Parc	B
Afrique du Sud	Cameroun	2026-07-26	21:00	Haady Parc	C
Nigeria	Guinée EQ	2026-07-28	19:30	Haady Parc	C
Togo	Sierra Leone	2026-07-28	21:30	Haady Parc	E
Ghana	Gabon	2026-07-29	19:30	Haady Parc	D
Côte d'Ivoire	RDA	2026-07-29	21:30	Haady Parc	E
Bénin	Maroc	2026-07-30	19:30	Haady Parc	D
Mali	Burkina Faso	2026-07-30	21:30	Haady Parc	A
Congo BR	Guinée C	2026-07-31	19:30	Haady Parc	A
Niger	Comores	2026-07-31	21:30	Haady Parc	B
Tchad	Gambie	2026-08-01	19:00	Haady Parc	B
Togo	Côte d'Ivoire	2026-08-01	21:00	Haady Parc	E
Afrique du Sud	Nigeria	2026-08-02	19:00	Haady Parc	C
RDA	Sierra Leone	2026-08-02	21:00	Haady Parc	E
Guinée EQ	Cameroun	2026-08-05	19:30	Haady Parc	C
Ghana	Maroc	2026-08-05	21:30	Haady Parc	D
Bénin	Gabon	2026-08-06	19:30	Haady Parc	D
Mali	Congo BR	2026-08-06	21:30	Haady Parc	A
Guinée C	Burkina Faso	2026-08-07	19:30	Haady Parc	A
Tchad	Comores	2026-08-07	21:30	Haady Parc	B
Afrique du Sud	Guinée EQ	2026-08-08	16:00	Haady Parc	C
Cameroun	Nigeria	2026-08-08	18:00	Haady Parc	C
Bénin	Ghana	2026-08-08	20:00	Haady Parc	D
Togo	RDA	2026-08-08	21:30	Haady Parc	E
Gabon	Maroc	2026-08-09	16:00	Haady Parc	D
Sierra Leone	Côte d'Ivoire	2026-08-09	18:00	Haady Parc	E
Niger	Gambie	2026-08-09	20:00	Haady Parc	B
